BTC-USD,Bitcoin
ETH-USD,Ethereum
USDT-USD,Tether
USDC-USD,USD Coin
BNB-USD,BNB
XRP-USD,XRP
ADA-USD,Cardano
BUSD-USD,Binance USD
SOL-USD,Solana
DOGE-USD,Dogecoin
DOT-USD,Polkadot
WBTC-USD,Wrapped Bitcoin
TRX-USD,TRON
AVAX-USD,Avalanche
SHIB-USD,SHIBA INU
DAI-USD,Dai
MATIC-USD,Polygon
LEO-USD,UNUS SED LEO
LTC-USD,Litecoin
CRO-USD,Cronos
NEAR-USD,NEAR Protocol
UNI-USD,Uniswap
FTT-USD,FTX Token
BCH-USD,Bitcoin Cash
XMR-USD,Monero
XLM-USD,Stellar
LINK-USD,Chainlink
ETC-USD,Ethereum Classic
BTCB-USD,Bitcoin BEP2
ATOM-USD,Cosmos
FLOW-USD,Flow
ALGO-USD,Algorand
APE-USD,ApeCoin
VET-USD,VeChain
MANA-USD,Decentraland
HBAR-USD,Hedera
XTZ-USD,Tezos
ICP-USD,Internet Computer
EGLD-USD,Elrond
SAND-USD,The Sandbox
FIL-USD,Filecoin
KCS-USD,KuCoin Token
AXS-USD,Axie Infinity
AAVE-USD,Aave
ZEC-USD,Zcash
EOS-USD,EOS
MKR-USD,Maker
THETA-USD,Theta Network
KLAY-USD,Klaytn
BTTOLD-USD,BitTorrent
TUSD-USD,TrueUSD
HNT-USD,Helium
HT-USD,Huobi Token
RUNE-USD,THORChain
GRT-USD,The Graph
BSV-USD,Bitcoin SV
FTM-USD,Fantom
BTT-USD,BitTorrent (New)
XEC-USD,eCash
MIOTA-USD,IOTA
USDP-USD,Pax Dollar
QNT-USD,Quant
WAVES-USD,Waves
NEO-USD,Neo
USDN-USD,Neutrino USD
LUNC-USD,Terra Classic
CAKE-USD,PancakeSwap
GMT-USD,STEPN
STX-USD,Stacks
LRC-USD,Loopring
OKB-USD,OKB
CHZ-USD,Chiliz
NEXO-USD,Nexo
ZIL-USD,Zilliqa
DASH-USD,Dash
KSM-USD,Kusama
CVX-USD,Convex Finance
CRV-USD,Curve DAO Token
CELO-USD,Celo
ENJ-USD,Enjin Coin
PAXG-USD,PAX Gold
BAT-USD,Basic Attention Token
USDD-USD,USDD
GALA-USD,Gala
ONE-USD,Harmony
WEMIX-USD,WEMIX
GNO-USD,Gnosis
KAVA-USD,Kava.io
AMP-USD,Amp
DCR-USD,Decred
MINA-USD,Mina
AR-USD,Arweave
XDC-USD,XDC Network
XEM-USD,NEM
COMP-USD,Compound
HOT-USD,Holo
GT-USD,GateToken
QTUM-USD,Qtum
KDA-USD,Kadena
NXM-USD,NXM
